Название;Населенный пункт;Линия;Звёзды;Рейтинг;Ссылка
Transatlantik Hotel & Spa;Гёйнюк;2-я линия от моря;5;4,13;https://tophotels.ru/hotel/al28007/reviews
Kilikya Palace Goynuk;Гёйнюк;1-я линия от моря;5;4,48;https://tophotels.ru/hotel/al2499/reviews
Viking Garden Hotel;Кемер-центр;2-я линия от моря;4;4,61;https://tophotels.ru/hotel/al25780/reviews
Otium Park Club Akman (ex.Otium Park Akman Beach Resort);Чамьюва;1-я линия от моря;4;4,21;https://tophotels.ru/hotel/al25709/reviews
Seven Seas Gravel Select;Кемер-центр;1-я линия от моря;5;4,47;https://tophotels.ru/hotel/al11796/reviews
Corendon Playa Kemer;Бельдиби;1-я линия от моря;5;4,42;https://tophotels.ru/hotel/al11250/reviews
MG White Lilyum;Чамьюва;2-я линия от моря;5;4,27;https://tophotels.ru/hotel/al39850/reviews
AQI Hydros Club (ex.TT Hotels Hydros Club);Кемер-центр;1-я линия от моря;5;4,54;https://tophotels.ru/hotel/al19217/reviews
Amara Luxury  Resort & Villas;Гёйнюк;1-я линия от моря;5;4,44;https://tophotels.ru/hotel/al39847/reviews
Ulusoy Kemer Holiday Club;Гёйнюк;1-я линия от моря;HV-;4,48;https://tophotels.ru/hotel/al4837/reviews
Akra Kemer (ex.Kemer Barut Collection);Кемер-центр;1-я линия от моря;5;4,77;https://tophotels.ru/hotel/al4804/reviews
Larissa Sultan`s Beach;Чамьюва;2-я линия от моря;4;4,15;https://tophotels.ru/hotel/al4838/reviews
Eldar Garden Resort Hotel (ex.Armas Garden Hotel);Гёйнюк;2-я линия от моря;4;3,84;https://tophotels.ru/hotel/al20760/reviews
The Norm Collection Kemer (ex.Asteria Kemer Resort);Чамьюва;1-я линия от моря;5;4,51;https://tophotels.ru/hotel/al5317/reviews
Armas Beach;Кемер-центр;1-я линия от моря;4;4,47;https://tophotels.ru/hotel/al25522/reviews
Perre Art Hotel Resort & Spa;Гёйнюк;1-я линия от моря;5;4,10;https://tophotels.ru/hotel/al740/reviews
Emelda Sun Club;Чамьюва;1-я линия от моря;HV-;4,58;https://tophotels.ru/hotel/al28031/reviews
Fame Residence Goynuk;Гёйнюк;2-я линия от моря;4;4,60;https://tophotels.ru/hotel/al909/reviews
Armas Labada Beach Hotel;Чамьюва;1-я линия от моря;5;4,43;https://tophotels.ru/hotel/al25947/reviews
Nirvana Dolce Vita;Текирова;1-я линия от моря;5;4,54;https://tophotels.ru/hotel/al9080/reviews
Marti Myra;Текирова;1-я линия от моря;5;4,26;https://tophotels.ru/hotel/al2515/reviews
Queens Park Le Jardin;Кириш;1-я линия от моря;5;4,52;https://tophotels.ru/hotel/al2503/reviews
Club Hotel Sunbel;Бельдиби;1-я линия от моря;4;4,13;https://tophotels.ru/hotel/al5207/reviews
Perre La Mer Hotel;Пляжный;1-я линия от моря;5;4,20;https://tophotels.ru/hotel/al5781/reviews
Otium Inn Residence Rivero Hotel;Пляжный;2-я линия от моря;4;4,13;https://tophotels.ru/hotel/al9085/reviews
Crystal Flora Beach Resort;Бельдиби;1-я линия от моря;5;4,29;https://tophotels.ru/hotel/al33373/reviews
Kilikya Resort Camyuva;Чамьюва;1-я линия от моря;5;4,39;https://tophotels.ru/hotel/al11045/reviews
Nar Hotel;Кемер-центр;2-я линия от моря;3;4,49;https://tophotels.ru/hotel/al11801/reviews
Daima Biz Hotel;Кириш;1-я линия от моря;5;3,98;https://tophotels.ru/hotel/al62014/reviews
Meder Resort;Кемер-центр;2-я линия от моря;5;4,29;https://tophotels.ru/hotel/al12213/reviews
Larissa Hotel Beldibi;Бельдиби;через дорогу;4;4,01;https://tophotels.ru/hotel/al25988/reviews
Pirate`s Beach Club;Текирова;1-я линия от моря;HV-;4,58;https://tophotels.ru/hotel/al2516/reviews
Grand Hotel Derin;Бельдиби;2-я линия от моря;4;3,67;https://tophotels.ru/hotel/al19685/reviews
Crystal De Luxe Resort & Spa;Кемер-центр;2-я линия от моря;5;4,66;https://tophotels.ru/hotel/al17792/reviews
Miramor Garden Resort Hotel;Пляжный;2-я линия от моря;4;4,10;https://tophotels.ru/hotel/al5365/reviews
Loxia Comfort Resort Kemer (ex.FUN&SUN FAMILY Comfort Beach);Гёйнюк;1-я линия от моря;5;3,78;https://tophotels.ru/hotel/al2509/reviews
Kemer Dream;Кемер-центр;2-я линия от моря;4;4,30;https://tophotels.ru/hotel/al4808/reviews
Anita Dream Hotel;Кириш;2-я линия от моря;4;3,78;https://tophotels.ru/hotel/al7650/reviews
Sirius;Текирова;1-я линия от моря;4;4,45;https://tophotels.ru/hotel/al2533/reviews
Eldar Resort;Пляжный;2-я линия от моря;4;4,51;https://tophotels.ru/hotel/al62885/reviews
Sherwood Greenwood Resort Hotel;Гёйнюк;2-я линия от моря;4;4,43;https://tophotels.ru/hotel/al4828/reviews
Fame Residence Kemer Hotel & SPA;Кемер-центр;1-я линия от моря;5;4,70;https://tophotels.ru/hotel/al4368/reviews
Aleria Belport Beach Hotel;Бельдиби;1-я линия от моря;4;4,20;https://tophotels.ru/hotel/al28070/reviews
Presa Di Finica;Финике;через дорогу;5;4,03;https://tophotels.ru/hotel/al591/reviews
Kimeros Park Holiday Village;Гёйнюк;1-я линия от моря;5;4,48;https://tophotels.ru/hotel/al9554/reviews
Transatlantik Beach (ex.Asdem Beach Hotel);Бельдиби;1-я линия от моря;5;3,99;https://tophotels.ru/hotel/al4839/reviews
Ma Biche Kemer by Werde Hotels;Гёйнюк;1-я линия от моря;5;4,54;https://tophotels.ru/hotel/al11249/reviews
Majesty Club Kemer Beach (закрыт);Гёйнюк;1-я линия от моря;5;4,33;https://tophotels.ru/hotel/al4972/reviews
Astoria;Пляжный;2-я линия от моря;4;4,20;https://tophotels.ru/hotel/al24902/reviews
Ring Beach Hotel;Бельдиби;1-я линия от моря;5;4,13;https://tophotels.ru/hotel/al11739/reviews
Amara Premier Palace;Бельдиби;1-я линия от моря;5;4,46;https://tophotels.ru/hotel/al101243/reviews
Club Boran Mare Beach;Гёйнюк;1-я линия от моря;HV-;4,64;https://tophotels.ru/hotel/al4978/reviews
Catamaran Quality Times Hotel;Бельдиби;1-я линия от моря;5;4,10;https://tophotels.ru/hotel/al11420/reviews
Castle Park Hotel;Бельдиби;2-я линия от моря;4;4,29;https://tophotels.ru/hotel/al39984/reviews
Miarosa Kemer Beach;Кириш;через дорогу;5;3,92;https://tophotels.ru/hotel/al28010/reviews
Crystal Aura Beach Resort & SPA;Кемер-центр;1-я линия от моря;5;4,21;https://tophotels.ru/hotel/al11871/reviews
Imperial Sunland;Бельдиби;через дорогу;5;4,17;https://tophotels.ru/hotel/al28023/reviews
Pine House by Werde Hotels;Чамьюва;через дорогу;4;4,45;https://tophotels.ru/hotel/al7568/reviews
Gural Premier Tekirova;Текирова;1-я линия от моря;5;4,68;https://tophotels.ru/hotel/al47206/reviews
Club Jovia Kemer;Кемер-центр;2-я линия от моря;5;3,59;https://tophotels.ru/hotel/al135223/reviews
Sinatra;Чамьюва;2-я линия от моря;4;4,47;https://tophotels.ru/hotel/al4816/reviews
Fore Resort & SPA (ex.Prado Kemer Resort);Кемер-центр;1-я линия от моря;5;3,96;https://tophotels.ru/hotel/al33088/reviews
Lims Bona Dea Beach Hotel;Кемер-центр;1-я линия от моря;4;4,26;https://tophotels.ru/hotel/al25523/reviews
Elamir Resort Hotel;Пляжный;через дорогу;4;4,27;https://tophotels.ru/hotel/al146219/reviews
Marin;Бельдиби;2-я линия от моря;3;4,01;https://tophotels.ru/hotel/al2574/reviews
Crystal Prestige Elite;Гёйнюк;через дорогу;5;4,36;https://tophotels.ru/hotel/al225043/reviews
Secret Garden (ex.Club Akman Beach);Чамьюва;1-я линия от моря;4;4,25;https://tophotels.ru/hotel/al17596/reviews
Simena Comfort Hotel (ex.Simena Hotel, Simena Holiday Village);Чамьюва;2-я линия от моря;5;4,12;https://tophotels.ru/hotel/al2510/reviews
Dosinia Luxury Resort Hotel;Пляжный;1-я линия от моря;5;4,34;https://tophotels.ru/hotel/al310969/reviews
Ares Blue;Кириш;2-я линия от моря;3;3,94;https://tophotels.ru/hotel/al12529/reviews
Karmir Resort Spa;Гёйнюк;2-я линия от моря;5;4,57;https://tophotels.ru/hotel/al140421/reviews
Olimpos Beach Hotel by RRH&R;Кемер-центр;1-я линия от моря;3;3,56;https://tophotels.ru/hotel/al4813/reviews
Seven Seas Hotel Life;Гёйнюк;1-я линия от моря;5;4,73;https://tophotels.ru/hotel/al5326/reviews
Anita Kemer Noch Hotel;Кемер-центр;2-я линия от моря;4;3,91;https://tophotels.ru/hotel/al28099/reviews
Akka Claros Hotel;Кириш;2-я линия от моря;4;4,48;https://tophotels.ru/hotel/al2538/reviews
DG Hotels Rose Resort;Кемер-центр;2-я линия от моря;4;4,08;https://tophotels.ru/hotel/al5364/reviews
Club Hotel Rama;Бельдиби;1-я линия от моря;4;4,45;https://tophotels.ru/hotel/al2566/reviews
Sherwood Exclusive Kemer;Гёйнюк;1-я линия от моря;5;4,52;https://tophotels.ru/hotel/al152174/reviews
Aydinbey Siu Collection (ex.Club Zigana);Бельдиби;1-я линия от моря;5;4,09;https://tophotels.ru/hotel/al707/reviews
Le Chateau De Prestige (закрыт);Гёйнюк;через дорогу;5;3,87;https://tophotels.ru/hotel/al24807/reviews
Lavia Hotels Kemer;Пляжный;2-я линия от моря;4;4,30;https://tophotels.ru/hotel/al173281/reviews
Viking Star;Кемер-центр;2-я линия от моря;5;4,49;https://tophotels.ru/hotel/al25054/reviews
Stella;Чамьюва;2-я линия от моря;4;3,97;https://tophotels.ru/hotel/al11997/reviews
Ambassador Plaza Hotel;Кемер-центр;1-я линия от моря;4;4,17;https://tophotels.ru/hotel/al5167/reviews
DoubleTree by Hilton Antalya Kemer;Кемер-центр;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al196785/reviews
Baia Kemer Club;Бельдиби;1-я линия от моря;5;4,25;https://tophotels.ru/hotel/al738/reviews
Champion Holiday Village;Бельдиби;1-я линия от моря;HV-;4,43;https://tophotels.ru/hotel/al5355/reviews
Rios Latte Beach Hotel;Пляжный;через дорогу;4;3,75;https://tophotels.ru/hotel/al85025/reviews
Imeros;Бельдиби;2-я линия от моря;3;3,84;https://tophotels.ru/hotel/al11842/reviews
Mr. Crane;Кемер-центр;3-я линия от моря;4;4,10;https://tophotels.ru/hotel/al5790/reviews
PALOMA Foresta;Бельдиби;1-я линия от моря;5;4,53;https://tophotels.ru/hotel/al2508/reviews
Larissa Mare Beach;Бельдиби;1-я линия от моря;4;4,06;https://tophotels.ru/hotel/al4818/reviews
Istanbul Beach Hotel;Чамьюва;2-я линия от моря;4;3,82;https://tophotels.ru/hotel/al4977/reviews
Omorfi Garden Resort Hotel (ex.Beralisa Family Garden Resort);Гёйнюк;2-я линия от моря;4;3,80;https://tophotels.ru/hotel/al80334/reviews
Get Enjoy Hotels;Бельдиби;2-я линия от моря;4;3,53;https://tophotels.ru/hotel/al13089/reviews
Rixos Beldibi;Бельдиби;1-я линия от моря;5;4,64;https://tophotels.ru/hotel/al147427/reviews
Club Jovia Park Beldibi;Бельдиби;3-я линия от моря;4;3,31;https://tophotels.ru/hotel/al35561/reviews
Onkel Hotels Beldibi Resort;Пляжный;1-я линия от моря;5;4,21;https://tophotels.ru/hotel/al697/reviews
Grand Viking;Пляжный;2-я линия от моря;4;4,40;https://tophotels.ru/hotel/al5250/reviews
Intourist The Maxim Resort Hotel (закрыт);Кемер-центр;1-я линия от моря;5;4,31;https://tophotels.ru/hotel/al19099/reviews
Larissa Inn Camyuva;Чамьюва;через дорогу;4;3,54;https://tophotels.ru/hotel/al7663/reviews
Sumela Garden;Бельдиби;1-я линия от моря;3;3,91;https://tophotels.ru/hotel/al2571/reviews
Nirvana Mediterranean Excellence;Бельдиби;1-я линия от моря;5;4,46;https://tophotels.ru/hotel/al137457/reviews
Garden Park Beldibi Hotel;Бельдиби;2-я линия от моря;4;3,41;https://tophotels.ru/hotel/al12811/reviews
UK Hotel Kiris;Кириш;2-я линия от моря;4;3,83;https://tophotels.ru/hotel/al28024/reviews
Korient;Кемер-центр;2-я линия от моря;3;4,09;https://tophotels.ru/hotel/al699/reviews
Club Phaselis (закрыт);Гёйнюк;1-я линия от моря;5;4,01;https://tophotels.ru/hotel/al5005/reviews
L’ancora Beach Hotel;Кемер-центр;1-я линия от моря;4;4,03;https://tophotels.ru/hotel/al40087/reviews
Anita Club Fontana Life Hotel;Кириш;2-я линия от моря;4;3,54;https://tophotels.ru/hotel/al4933/reviews
Rich Melissa Hotel;Кемер-центр;3-я линия от моря;4;3,94;https://tophotels.ru/hotel/al13086/reviews
Beso Beach Hotel (ex.Koala Beach);Чамьюва;через дорогу;4;3,56;https://tophotels.ru/hotel/al40831/reviews
Alexius Beach Hotel;Бельдиби;1-я линия от моря;4;3,55;https://tophotels.ru/hotel/al4811/reviews
Sefik Bey Hotel;Кемер-центр;2-я линия от моря;3;3,89;https://tophotels.ru/hotel/al12723/reviews
Ares Dream Hotel;Кемер-центр;2-я линия от моря;4;3,19;https://tophotels.ru/hotel/al19108/reviews
Golden Lotus;Кемер-центр;1-я линия от моря;4;4,42;https://tophotels.ru/hotel/al743/reviews
Ares Hotel Kemer;Пляжный;2-я линия от моря;3;3,48;https://tophotels.ru/hotel/al47858/reviews
Beltur;Бельдиби;1-я линия от моря;3;3,37;https://tophotels.ru/hotel/al4918/reviews
Club Festival Tekirova;Текирова;2-я линия от моря;4;4,09;https://tophotels.ru/hotel/al4809/reviews
Golden Sun;Бельдиби;2-я линия от моря;3;4,17;https://tophotels.ru/hotel/al5377/reviews
Aware Resort & Spa (ex.Park Marina Resort Hotel);Кириш;2-я линия от моря;4;3,83;https://tophotels.ru/hotel/al9110/reviews
Royal Towers Hotel Kiris (ex.Palmet Resort Kiris Hotel);Кириш;рядом;4;3,74;https://tophotels.ru/hotel/al67746/reviews
Rama Beach Hotel (закрыт);Бельдиби;1-я линия от моря;4;3,98;https://tophotels.ru/hotel/al2575/reviews
Sultan Beldibi managed by PALOMA Hotels (ех.Sentido Sultan Beldibi);Бельдиби;1-я линия от моря;;4,58;https://tophotels.ru/hotel/al39831/reviews
Rios Beach;Бельдиби;через дорогу;4;3,39;https://tophotels.ru/hotel/al5227/reviews
RK Magic Dream (ex.Elamir Magic Dream);Кемер-центр;2-я линия от моря;4;3,83;https://tophotels.ru/hotel/al26155/reviews
Belpoint Beach Hotel (ex.Ruza Beach Hotel);Бельдиби;2-я линия от моря;4;3,33;https://tophotels.ru/hotel/al12097/reviews
Kemer Paradise;Пляжный;2-я линия от моря;3;3,93;https://tophotels.ru/hotel/al63310/reviews
Fame Beach;Кемер-центр;1-я линия от моря;4;4,10;https://tophotels.ru/hotel/al28022/reviews
Mira Garden Resort;Пляжный;2-я линия от моря;4;3,91;https://tophotels.ru/hotel/al90054/reviews
Havana;Кемер-центр;2-я линия от моря;4;4,44;https://tophotels.ru/hotel/al25550/reviews
Beldibi Beach Hotel;Бельдиби;через дорогу;4;3,50;https://tophotels.ru/hotel/al889/reviews
Fame Hotel;Кемер-центр;через дорогу;3;4,28;https://tophotels.ru/hotel/al4365/reviews
Imperial Turkiz Resort;Пляжный;1-я линия от моря;5;4,11;https://tophotels.ru/hotel/al4806/reviews
Twins Hotel;Кириш;2-я линия от моря;3;3,79;https://tophotels.ru/hotel/al28088/reviews
Viking Nona Beach;Кемер-центр;1-я линия от моря;4;4,32;https://tophotels.ru/hotel/al25571/reviews
Sunland Beach;Чамьюва;через дорогу;3;3,75;https://tophotels.ru/hotel/al4931/reviews
Aybel Inn;Бельдиби;1-я линия от моря;3;3,81;https://tophotels.ru/hotel/al61590/reviews
Britania;Кемер-центр;2-я линия от моря;3;3,54;https://tophotels.ru/hotel/al4822/reviews
Idyros;Кемер-центр;2-я линия от моря;3;3,93;https://tophotels.ru/hotel/al5199/reviews
Solim;Кириш;2-я линия от моря;3;3,93;https://tophotels.ru/hotel/al4351/reviews
Derya Deniz;Кемер-центр;1-я линия от моря;3;2,78;https://tophotels.ru/hotel/al12526/reviews
Korient Mira;Кемер-центр;2-я линия от моря;3;3,83;https://tophotels.ru/hotel/al5617/reviews
La Perla Resort & Hotel (ex.Allure Beach Resort);Бельдиби;1-я линия от моря;4;3,88;https://tophotels.ru/hotel/al11986/reviews
Club Marakesh Beach Hotel;Бельдиби;1-я линия от моря;3;3,16;https://tophotels.ru/hotel/al4919/reviews
Ares City;Кемер-центр;2-я линия от моря;3;3,27;https://tophotels.ru/hotel/al6080/reviews
Kemer;Кемер-центр;через дорогу;3;4,01;https://tophotels.ru/hotel/al5589/reviews
Acacia Resort (Akasia Resort);Бельдиби;2-я линия от моря;3;3,05;https://tophotels.ru/hotel/al5404/reviews
Ambiente;Текирова;1-я линия от моря;4;3,95;https://tophotels.ru/hotel/al5702/reviews
Wassermann;Кемер-центр;2-я линия от моря;3;4,17;https://tophotels.ru/hotel/al11984/reviews
Vogue Royal Beach Hotel (ex.Endam);Бельдиби;через дорогу;4;3,55;https://tophotels.ru/hotel/al5650/reviews
Club Park Marina Hotel;Кемер-центр;2-я линия от моря;3;3,53;https://tophotels.ru/hotel/al12776/reviews
Himeros Beach Hotel;Пляжный;через дорогу;3;3,34;https://tophotels.ru/hotel/al63915/reviews
Erkal Resort;Кемер-центр;2-я линия от моря;4;3,57;https://tophotels.ru/hotel/al32369/reviews
Grand Lukullus Hotel (ex.Elamir Grand Lukullus);Кемер-центр;2-я линия от моря;4;3,89;https://tophotels.ru/hotel/al2561/reviews
Club Herakles;Кемер-центр;3-я линия от моря;3;3,02;https://tophotels.ru/hotel/al4832/reviews
Starlife;Кириш;2-я линия от моря;3;3,94;https://tophotels.ru/hotel/al5602/reviews
Grand Nar Hotel;Кемер-цент;----;4;3,27;https://tophotels.ru/hotel/al311347/reviews
Valeri Beach;Кемер-центр;1-я линия от моря;3;4,00;https://tophotels.ru/hotel/al6120/reviews
More;Бельдиби;через дорогу;3;3,37;https://tophotels.ru/hotel/al47804/reviews
Tal Beach Hotel;Бельдиби;через дорогу;3;3,35;https://tophotels.ru/hotel/al36539/reviews
Gonul Palace;Бельдиби;2-я линия от моря;3;3,36;https://tophotels.ru/hotel/al19915/reviews
Bonn Beach Hotel By RRH&R;Кемер-центр;1-я линия от моря;3;3,52;https://tophotels.ru/hotel/al27252/reviews
Armeria Hotel;Кемер-центр;3-я линия от моря;3;3,49;https://tophotels.ru/hotel/al590/reviews
Romeo Beach Hotel;Кемер-центр;1-я линия от моря;3;3,70;https://tophotels.ru/hotel/al42374/reviews
Murat;Кемер-центр;2-я линия от моря;3;4,04;https://tophotels.ru/hotel/al5379/reviews
Asia;Бельдиби;2-я линия от моря;3;3,21;https://tophotels.ru/hotel/al12961/reviews
Kiris World Voyage Hotel (закрыт);Кириш;1-я линия от моря;5;4,45;https://tophotels.ru/hotel/al132614/reviews
La Hoya Beach Hotel;Бельдиби;1-я линия от моря;4;3,93;https://tophotels.ru/hotel/al5228/reviews
Derin;Бельдиби;2-я линия от моря;3;3,67;https://tophotels.ru/hotel/al4833/reviews
Kylo Garden Hotel By Julitat;Чамьюва;2-я линия от моря;3;3,01;https://tophotels.ru/hotel/al4817/reviews
Ipsos;Бельдиби;2-я линия от моря;3;3,35;https://tophotels.ru/hotel/al12075/reviews
Kaftans Hotel by RRH&R;Кемер-центр;2-я линия от моря;3;3,15;https://tophotels.ru/hotel/al963/reviews
Esdem Garden;Чамьюва;2-я линия от моря;3;3,71;https://tophotels.ru/hotel/al4927/reviews
Stardust Beach (закрыт);Пляжный;2-я линия от моря;3;3,75;https://tophotels.ru/hotel/al77567/reviews
Belle Vue;Бельдиби;3-я линия от моря;3;3,52;https://tophotels.ru/hotel/al12576/reviews
Turkiz Beldibi Resort & Spa (закрыт);Бельдиби;1-я линия от моря;5;4,28;https://tophotels.ru/hotel/al5155/reviews
Emily Rose Hotel (ex.Belpinar Boutique Hotel);Пляжный;1-я линия от моря;3;4,35;https://tophotels.ru/hotel/al80513/reviews
Felice;Кемер-центр;2-я линия от моря;3;4,13;https://tophotels.ru/hotel/al12431/reviews
Rose Resort Hotel;Пляжный;2-я линия от моря;3;4,06;https://tophotels.ru/hotel/al2579/reviews
Kaliptus;Кемер-центр;3-я линия от моря;2;4,52;https://tophotels.ru/hotel/al26098/reviews
Club Pinara;Текиров;----;3;3,43;https://tophotels.ru/hotel/al308083/reviews
Club Agon Hotel;Кемер-центр;3-я линия от моря;3;3,59;https://tophotels.ru/hotel/al26086/reviews
Park Marina Hotel;Гёйню;----;3;4,16;https://tophotels.ru/hotel/al315468/reviews
Ozer Park Hotel;Бельдиб;----;3;4,12;https://tophotels.ru/hotel/al311015/reviews
Beldibi Santana;Бельдиби;2-я линия от моря;3;3,42;https://tophotels.ru/hotel/al19575/reviews
Arikan Inn Hotel;Кемер-центр;2-я линия от моря;3;3,35;https://tophotels.ru/hotel/al4835/reviews
Tal;Бельдиби;2-я линия от моря;3;3,57;https://tophotels.ru/hotel/al2573/reviews
Viking Suite Hotel;Пляжный;3-я линия от моря;;4,64;https://tophotels.ru/hotel/al170676/reviews
