Название;Населенный пункт;Линия;Звёзды;Рейтинг;Ссылка
Eski Masal Hotel;Пляжный;2-я линия от моря;;3,08;https://tophotels.ru/hotel/al87037
Ayka Life Longevity Center (ex.Ayka Vital Park);Анталья-центр;3-я линия от моря;5;3,08;https://tophotels.ru/hotel/al40551
Divan Antalya;Анталья-центр;1-я линия от моря;5;3,08;https://tophotels.ru/hotel/al2462
Ayhan;Городской;центр;3;3,08;https://tophotels.ru/hotel/al172693
Antalya Inn;Калеичи;центр;;3,08;https://tophotels.ru/hotel/al165262
Aqua Princess Hotel;Каш;1-я линия от моря;3;3,08;https://tophotels.ru/hotel/al89618
Villa Hotel Tamara;Каш;1-я линия от моря;;3,08;https://tophotels.ru/hotel/al35972
Kosa Otel Antalya;Калеич;----;;4,50;https://tophotels.ru/hotel/al314460/reviews
Zel;Коньяалты;2-я линия от моря;3;3,39;https://tophotels.ru/hotel/al63023/reviews
Bilem;Лара;2-я линия от моря;4;4,13;https://tophotels.ru/hotel/al31008/reviews
Porto;Пляжный;3-я линия от моря;;5,00;https://tophotels.ru/hotel/al122137/reviews
Cachet Hotel;Каш;через дорогу;;5,00;https://tophotels.ru/hotel/al176720/reviews
Q Business Hotels;Анталья-цент;----;;5,00;https://tophotels.ru/hotel/al327280/reviews
Bahceli Family Otel;"100%

                            для отдыха с детьми                        




                            5,00                        
                        Размещение                    


                            5,00                        
                        Питание                    


                            5,00                        
                        Серви";----;;5,00;https://tophotels.ru/hotel/al322269/reviews
Lara Garden Hotel;Лар;----;;5,00;https://tophotels.ru/hotel/al320491/reviews
Bahar Pansiyon;Каш;2-я линия от моря;;5,00;https://tophotels.ru/hotel/al277089/reviews
Aysima Hotel;Каш;2-я линия от моря;;5,00;https://tophotels.ru/hotel/al175237/reviews
Kaleici Lodge;Калеичи;2-я линия от моря;;5,00;https://tophotels.ru/hotel/al124046/reviews
Patron Hotel;Калеич;----;;4,83;https://tophotels.ru/hotel/al313660/reviews
Held Hotel;Калеичи;центр;;4,67;https://tophotels.ru/hotel/al167316/reviews
AntRoyal;Анталья-центр;3-я линия от моря;3;4,67;https://tophotels.ru/hotel/al93140/reviews
Adrasan Arkadas;Адрасан;2-я линия от моря;3;4,67;https://tophotels.ru/hotel/al54532/reviews
Luff Boutique Hotel;Ка;----;;4,67;https://tophotels.ru/hotel/al326866/reviews
1207 Boutique Hotel;Калеич;----;;4,67;https://tophotels.ru/hotel/al314461/reviews
Cinarlar Apart Hotel;Каш;2-я линия от моря;;4,67;https://tophotels.ru/hotel/al175359/reviews
Yonca Hotel;Адрасан;через дорогу;;4,67;https://tophotels.ru/hotel/al166116/reviews
Yesil Vadi;Загородный;близко;;4,67;https://tophotels.ru/hotel/al63264/reviews
Mimoza;Пляжный;1-я линия от моря;2;4,67;https://tophotels.ru/hotel/al62731/reviews
Sealife Lounge;Коньяалты;2-я линия от моря;;4,50;https://tophotels.ru/hotel/al167099/reviews
Grand Gulluk Hotel;"100%

                            для отдыха деловой                        




                            5,00                        
                        Размещение                    


                            3,00                        
                        Питание                    


                            5,00                        
                        Серви";----;;4,33;https://tophotels.ru/hotel/al325036/reviews
Blue Garden;Коньяалты;через дорогу;4;4,17;https://tophotels.ru/hotel/al17615/reviews
My Golden Hotel;Пляжный;1-я линия от моря;3;4,00;https://tophotels.ru/hotel/al42460/reviews
Lazer Pension;Пляжный;2-я линия от моря;3;3,67;https://tophotels.ru/hotel/al68287/reviews
White Rose;Лара;2-я линия от моря;3;1,33;https://tophotels.ru/hotel/al5024/reviews
The Room Hotel And Apartments;Коньяалты;2-я линия от моря;3;1,33;https://tophotels.ru/hotel/al143829
Afflon Hotels Loft City;Анталья-центр;центр;;1,33;https://tophotels.ru/hotel/al320387
Aspendos Suites;Коньяалт;----;;1,33;https://tophotels.ru/hotel/al317683
Aquarius Hotel;Каш;1-я линия от моря;3;1,33;https://tophotels.ru/hotel/al89619
Mono Hotel;Анталья-цент;----;;1,33;https://tophotels.ru/hotel/al326058
Old Town Point Hotel & Spa Antalya;"Отель мало изучен                Вам есть что рассказать?                Напишите отзыв, 
                и будьте первыми!";----;4;1,33;https://tophotels.ru/hotel/al326049
Nox Suite;"Отель мало изучен                Вам есть что рассказать?                Напишите отзыв, 
                и будьте первыми!";----;;1,33;https://tophotels.ru/hotel/al320116
Nun Boutique Hotel;"Отель мало изучен                Вам есть что рассказать?                Напишите отзыв, 
                и будьте первыми!";----;;1,33;https://tophotels.ru/hotel/al316980
Route Hotel Kaleici;Калеич;----;;1,33;https://tophotels.ru/hotel/al313662
Wise Boutique Hotel & Spa;Анталья-центр;2-я линия от моря;5;1,33;https://tophotels.ru/hotel/al309994
Ale Park Hotel;Коньяалт;----;;1,33;https://tophotels.ru/hotel/al309794
Casa De Sirena Boutique Hotel;Коньяалт;----;;1,33;https://tophotels.ru/hotel/al307901
Antalyali Hostel;Коньяалты;2-я линия от моря;;1,33;https://tophotels.ru/hotel/al167498
Kaktus Apartment & Hotel;Пляжный;2-я линия от моря;;1,33;https://tophotels.ru/hotel/al167323
Arikanda River Garden;Адрасан;через дорогу;;1,33;https://tophotels.ru/hotel/al166047
Royal Hill (закрыт);Коньяалты;1-я линия от моря;4;1,33;https://tophotels.ru/hotel/al38759
Anatolian Homes & Apart;Коньяалт;----;;1,33;https://tophotels.ru/hotel/al325623
Flamingo Residence;"Отель мало изучен                Вам есть что рассказать?                Напишите отзыв, 
                и будьте первыми!";----;;1,33;https://tophotels.ru/hotel/al323646
Prestij Apart Hotel;Лар;----;;1,33;https://tophotels.ru/hotel/al322276
La Siete Boutique Hotel;"Отель мало изучен                Вам есть что рассказать?                Напишите отзыв, 
                и будьте первыми!";----;;1,33;https://tophotels.ru/hotel/al321937
Zeynel Boutique Hotel;"Отель мало изучен                Вам есть что рассказать?                Напишите отзыв, 
                и будьте первыми!";----;;1,33;https://tophotels.ru/hotel/al321935
Dream Time Hotel;Анталья-цент;----;;1,33;https://tophotels.ru/hotel/al313926
Madi Start Hotel;Анталья-цент;----;;1,33;https://tophotels.ru/hotel/al309744
Santosa Pension;Каш;2-я линия от моря;;1,33;https://tophotels.ru/hotel/al277121
Mandalin Hotel;Городской;близко к центру;;1,33;https://tophotels.ru/hotel/al185558
Livia Hotel;Каш;через дорогу;;1,33;https://tophotels.ru/hotel/al175250
Kartal;Коньяалты;2-я линия от моря;;1,33;https://tophotels.ru/hotel/al172685
Bilgehan;Городской;центр;;1,33;https://tophotels.ru/hotel/al172675
Tekeli Konaklari;Калеичи;центр;;1,33;https://tophotels.ru/hotel/al167391
Embassy Pension;Калеичи;центр;;1,33;https://tophotels.ru/hotel/al167298
Metur;Городской;центр;2;1,33;https://tophotels.ru/hotel/al167254
Apaydin Group;Городской;окраина;;1,33;https://tophotels.ru/hotel/al167058
Teos Hotel;Пляжный;3-я линия от моря;;1,33;https://tophotels.ru/hotel/al166335
Maviay Hotel;Адрасан;2-я линия от моря;;1,33;https://tophotels.ru/hotel/al166137
On Hotel;Адрасан;через дорогу;;1,33;https://tophotels.ru/hotel/al166130
Arnna;Каш;2-я линия от моря;;1,33;https://tophotels.ru/hotel/al165530
Deja Vu;Пляжный;2-я линия от моря;3;1,33;https://tophotels.ru/hotel/al104012
Narcicegi;Адрасан;2-я линия от моря;;1,33;https://tophotels.ru/hotel/al94017
Habesos;Каш;2-я линия от моря;3;1,33;https://tophotels.ru/hotel/al54541
Lara City;Лара;1-я линия от моря;3;1,33;https://tophotels.ru/hotel/al52517
Golden City;Коньяалты;1-я линия от моря;3;1,33;https://tophotels.ru/hotel/al36073
Altes;Лара;2-я линия от моря;3;4,83;https://tophotels.ru/hotel/al4981/reviews
La Paloma Hotel;Пляжный;2-я линия от моря;;4,42;https://tophotels.ru/hotel/al115546/reviews
Prime Boutique;Городской;центр;5;4,00;https://tophotels.ru/hotel/al172703/reviews
Sah Inn Paradise;Кумлуджа;1-я линия от моря;;3,92;https://tophotels.ru/hotel/al210492/reviews
Lara Diamond;Пляжный;2-я линия от моря;3;3,75;https://tophotels.ru/hotel/al5164/reviews
Sole;Пляжный;через дорогу;3;3,67;https://tophotels.ru/hotel/al66219/reviews
Ataer;Коньяалты;2-я линия от моря;3;3,61;https://tophotels.ru/hotel/al5338/reviews
Reutlingen Hof;Анталья-центр;1-я линия от моря;4;3,00;https://tophotels.ru/hotel/al54549/reviews
Behram;Коньяалты;2-я линия от моря;3;3,00;https://tophotels.ru/hotel/al170576/reviews
Orange;Анталья-центр;1-я линия от моря;3;3,00;https://tophotels.ru/hotel/al5402/reviews
Cender;Анталья-центр;через дорогу;4;2,67;https://tophotels.ru/hotel/al13329/reviews
Goodman Hotel & Bistro;Городской;центр;;2,67;https://tophotels.ru/hotel/al172699
Korsan Ada;Каш;1-я линия от моря;;2,67;https://tophotels.ru/hotel/al170242
Mediterra Art Hotel;Анталья-центр;2-я линия от моря;4;2,92;https://tophotels.ru/hotel/al91824/reviews
Pacco Hotel & Spa;"100%

                            для отдыха с семьёй                        




                            4,50                        
                        Размещение                    


                            2,00                        
                        Питание                    


                            2,00                        
                        Серви";----;;2,83;https://tophotels.ru/hotel/al323143/reviews
Akberlin;Коньяалты;через дорогу;2;2,70;https://tophotels.ru/hotel/al4954/reviews
Pamira;Лара;2-я линия от моря;3;2,22;https://tophotels.ru/hotel/al40099/reviews
Panc;Лара;через дорогу;3;2,22;https://tophotels.ru/hotel/al4979/reviews
Alatau Lara Residence;Лара;2-я линия от моря;2;5,00;https://tophotels.ru/hotel/al34890/reviews
Ruyagul;Коньяалты;через дорогу;2;5,00;https://tophotels.ru/hotel/al17112/reviews
Tepe;Лара;2-я линия от моря;2;5,00;https://tophotels.ru/hotel/al8889/reviews
Club Capa;Каш;1-я линия от моря;3;4,44;https://tophotels.ru/hotel/al35586/reviews
Aquapark Hotel;Каш;1-я линия от моря;3;4,33;https://tophotels.ru/hotel/al34849/reviews
Perla Mare;Коньяалты;через дорогу;3;4,33;https://tophotels.ru/hotel/al13253/reviews
